time,energy_total,spectral_variance
1.1800000000000002,0.0991235911829968,49836.26266805086
1.19,0.09781602887717691,49793.951314993865
1.2,0.0965791519234183,50044.73441703542
1.21,0.09530534040697815,49891.58276588573
1.22,0.09410034007168783,50032.036322210726
1.23,0.09285939083375318,49771.17516766548
1.24,0.09168549739046304,49805.703790987805
1.25,0.09052653100161183,49788.361156198036
1.26,0.0894316512188022,50068.213898170136
1.27,0.08830128126137678,49947.40525415746
1.28,0.08718527177472535,49776.99261017442
1.29,0.08613098716097457,49906.236620964664
1.3,0.08508949302696138,49986.04318668102
1.31,0.08406069192168256,50019.24306388367
1.32,0.0830444706552299,50006.65573881554
1.33,0.08204047487089355,49942.77402664066
1.34,0.08104866613215293,49832.70325296437
1.35,0.08011310998352132,50026.20739974173
1.36,0.07914468960249031,49824.774800717365
1.37,0.0782312113921381,49928.61277123905
1.3800000000000001,0.0773282960072015,49987.49178139333
1.3900000000000001,0.07643584562723703,50002.71410521403
1.4000000000000001,0.07555372622946493,49974.37619734414
1.4100000000000001,0.0746818442343431,49904.0421912819
1.4200000000000002,0.07382005251862309,49791.346960909636
1.4300000000000002,0.07300849844335852,49985.48006713232
1.4400000000000002,0.07216609015676738,49790.12945902079
1.4500000000000002,0.07137278010973283,49902.10587398556
1.46,0.07058826893538933,49975.89363531854
1.47,0.06981238851304167,50008.6246667833
1.48,0.0690450660898394,50002.08452663605
1.49,0.06828619393137629,49956.11467742539
1.5,0.06753570007766105,49872.22466378297
1.51,0.06679343513470112,49748.70804508689
1.52,0.0660958286967798,49937.96552885649
1.53,0.0653694624601183,49740.81346973673
1.54,0.06468677000828905,49855.94314891322
1.55,0.06401125165629232,49935.691958002135
1.56,0.063342801794596,49979.07771376939
1.57,0.06268134723322194,49986.528774925944
1.58,0.06202681660753457,49958.631040823726
1.59,0.061379139147000474,49895.8662201245
1.6,0.06073827094673346,49799.74836122262
1.61,0.06013724708108598,50018.14322463586
1.62,0.059509384337291325,49853.847529071776
1.6300000000000001,0.05892056843195658,50005.594207185546
1.6400000000000001,0.05830542533206975,49774.214510845995
1.6500000000000001,0.057728549519275606,49859.80961715824
1.6600000000000001,0.05715738867768666,49912.735293189435
1.6700000000000002,0.05659191024904433,49934.45359486667
1.6800000000000002,0.05603203265477472,49923.91744100754
1.6900000000000002,0.055477713457905066,49882.25218132737
1.7000000000000002,0.05492886401111456,49808.189403521
1.7100000000000002,0.05441545648242537,50053.60033732254
1.72,0.05387716106556608,49919.22583546175
1.73,0.05334420016808318,49754.76348470458
1.74,0.05284565243039344,49910.04022214334
1.75,0.0523517613797085,50035.36375564306
1.76,0.051833932960262806,49782.44682440879
1.77,0.051349519815134956,49849.26718912636
1.78,0.05086965494100319,49888.09361576473
1.79,0.050394284544273665,49898.427088066725
1.8,0.04992336650192391,49880.509579038786
1.81,0.049456850989622485,49834.37660215173
1.82,0.048994716870678405,49761.31242207894
1.83,0.0485636636628344,50010.113683853415
1.84,0.048109891817802765,49882.15314042074
1.85,0.04766036374173553,49727.376518014156
1.86,0.04724106129552579,49894.62732858829
1.87,0.04682546350583865,50036.40389573301
1.8800000000000001,0.046387907822450704,49799.25708270457
1.8900000000000001,0.04597977447730551,49886.2685608179
1.9000000000000001,0.045575297188021655,49951.43657639497
1.9100000000000001,0.045174378454277554,49990.38735049492
1.9200000000000002,0.04477699679481344,50004.17755644574
1.9300000000000002,0.044383121885870944,49993.14347121579
1.9400000000000002,0.04399270709303675,49956.52151804151
